"","property_no","property_address","total rates","lv","cv","rate_yr","assessment_number","rate area (ha)","qv category","suburb"
"35516",16706,"208 Te Komai Rd~WHANGANUI",45447.37,16100000,18110000,"25_26","1295000800",2035.6296,"Pastoral","Whanganui Rural"
"35517",16710,"192 Kauarapaoa Rd~WHANGANUI",2265.94,310000,610000,"25_26","1280026100",4.0468,"Lifestyle","Whanganui Rural"
"35518",16714,"Whanganui River Rd~WHANGANUI",1514.57,128000,248000,"25_26","1292025200",0.5741,"Residential","Whanganui Rural"
"35519",16718,"Morikau Rd~WHANGANUI",1359.94,227000,236000,"25_26","1292008400",71.6293,"Pastoral","Whanganui Rural"
"35520",16721,"505 No 3 Line~WHANGANUI",3003.23,490000,1120000,"25_26","1301003300",5.3022,"Lifestyle","Whanganui Rural"
"35521",16722,"5 Tirimoana Pl~WHANGANUI",4496.68,325000,590000,"25_26","1318516000",0.0815,"Residential","St Johns/Otamatea"
"35522",16723,"34 Virginia Hts~WHANGANUI",4464.96,3e+05,680000,"25_26","1318511800",0.0809,"Residential","St Johns/Otamatea"
"35523",16724,"202 Great North Rd~WHANGANUI",5474.68,650000,1200000,"25_26","1318507600",1.7381,"Lifestyle","St Johns/Otamatea"
"35524",16725,"205 Great North Rd~WHANGANUI",4535.18,320000,550000,"25_26","1318503400",0.1107,"Residential","St Johns/Otamatea"
"35525",16726,"7 Riverbank Rd~WHANGANUI",3671.57,335000,960000,"25_26","1299010900",0.1697,"Residential","Whanganui Rural"
"35526",16728,"281 Whanganui River Rd~WHANGANUI",21281.36,3990000,4240000,"25_26","1299002500",817.7866,"Forestry","Whanganui Rural"
"35527",16730,"29 Makirikiri Valley Rd~WHANGANUI",2216.72,250000,520000,"25_26","1299006702",0.742,"Residential","Whanganui Rural"
"35528",16732,"114 Fox Rd~WHANGANUI",9907.81,1730000,2150000,"25_26","1288069800",1.6554,"Lifestyle","Whanganui Rural"
"35529",16733,"67 Montgomery Rd~WHANGANUI",3510.53,350000,9e+05,"25_26","1288065600",0.8468,"Residential","Whanganui Rural"
"35530",16734,"27 Wikitoria Rd~WHANGANUI",3271.59,396000,492000,"25_26","1308005800",1.1908,"Lifestyle","Bastia/Durie Hills Putiki"
"35531",16735,"95 Putiki Dr~WHANGANUI",10070.11,320000,1030000,"25_26","1308001600",0.1864,"Commercial","Bastia/Durie Hills Putiki"
"35532",16736,"142 Springvale Rd~WHANGANUI",4240.84,420000,1600000,"25_26","1288065601",0.6989,"Residential","Whanganui Rural"
"35533",16737,"99 Putiki Dr~WHANGANUI",4055.38,230000,560000,"25_26","1308001602",0.2507,"Residential","Bastia/Durie Hills Putiki"
"35534",16740,"101 Putiki Dr~WHANGANUI",3222.27,320000,990000,"25_26","1308001603",1.0741,"Lifestyle","Bastia/Durie Hills Putiki"
"35535",16741,"13 Westmere Rd~WHANGANUI",2854.17,410000,780000,"25_26","1288044600",1.1685,"Lifestyle","Whanganui Rural"
"35536",16742,"58 Papaiti Rd~WHANGANUI",2759,315000,680000,"25_26","1288040400",0.5344,"Residential","Whanganui Rural"
"35537",16744,"160 Westmere Station Rd~WHANGANUI",3649.38,385000,1020000,"25_26","1288032000",0.35,"Residential","Whanganui Rural"
"35538",16745,"254 Brunswick Rd~WHANGANUI",4279.05,680000,720000,"25_26","1288036201",27.5995,"Forestry","Whanganui Rural"
"35539",16746,"144 Westmere Station Rd~WHANGANUI",3864.64,410000,1220000,"25_26","1288032001",0.379,"Residential","Whanganui Rural"
"35540",16752,"Brunswick Rd~WHANGANUI",895.33,10000,20000,"25_26","1288019401",0.0244,"Utility asset","Whanganui Rural"
"35541",16753,"Kai Iwi Valley Rd~WHANGANUI",3329.48,1350000,1390000,"25_26","1288015200",54.9925,"Pastoral","Whanganui Rural"
"35542",16754,"29 Mowhanau Dr~WHANGANUI",3685.1,315000,680000,"25_26","1288011000",0.1067,"Residential","Whanganui Rural"
"35543",16757,"739 Koatanui Rd~WHANGANUI",2527.14,320000,930000,"25_26","1288002601",1.7199,"Lifestyle","Whanganui Rural"
"35544",16758,"512 Koatanui Rd~WHANGANUI",2655.25,430000,1140000,"25_26","1288002602",12.143,"Lifestyle","Whanganui Rural"
"35545",16759,"750 Koatanui Rd~WHANGANUI",7646.25,2590000,3070000,"25_26","1288002603",168.468,"Pastoral","Whanganui Rural"
"35546",16763,"116 Currie Rd~WHANGANUI",7791.98,2570000,3220000,"25_26","1288002605",213.76,"Pastoral","Whanganui Rural"
"35547",16765,"150 Marangai Rd~WHANGANUI",13309.8,5050000,5250000,"25_26","1307017600",190.5187,"Pastoral","Whanganui Rural"
"35548",16766,"105 Holmwood Rd~WHANGANUI",3033.01,530000,1080000,"25_26","1307013400",8.0937,"Lifestyle","Whanganui Rural"
"35549",16768,"93 Holmwood Rd~WHANGANUI",2987.87,375000,1100000,"25_26","1307013401",4.0367,"Lifestyle","Whanganui Rural"
"35550",16770,"Wanganui Motor Cycle Club~Landguard Rd~WHANGANUI",2082.78,440000,8e+05,"25_26","1307009201",7.3386,"Other","Whanganui Rural"
"35551",16772,"55 Marybank Rd~WHANGANUI",3313.44,255000,610000,"25_26","1307000800",0.0799,"Residential","Whanganui Rural"
"35552",16773,"57 Marybank Rd~WHANGANUI",3375.97,255000,770000,"25_26","1307000801",0.08,"Residential","Whanganui Rural"
"35553",16774,"59 Marybank Rd~WHANGANUI",3368.15,255000,750000,"25_26","1307000802",0.08,"Residential","Whanganui Rural"
"35554",16775,"61 Marybank Rd~WHANGANUI",3352.52,255000,710000,"25_26","1307000803",0.08,"Residential","Whanganui Rural"
"35555",16776,"63 Marybank Rd~WHANGANUI",3364.24,255000,740000,"25_26","1307000804",0.0802,"Residential","Whanganui Rural"
"35556",16780,"1587 State Highway 3 North~WHANGANUI",16820.83,3310000,3780000,"25_26","1282027000",96.1912,"Dairy","Whanganui Rural"
"35557",16783,"10 Maxwell Station Rd~WHANGANUI",2349.46,190000,435000,"25_26","1282022801",0.2553,"Residential","Whanganui Rural"
"35558",16784,"Wainui Beach Rd~WHANGANUI",3824.17,1210000,1283000,"25_26","1282014401",138.0045,"Pastoral","Whanganui Rural"
